06:25:30 [Connection] send() failed with error: 10057
06:25:30 [Connection] connect() failed with error: 10038
06:25:31 [Connection] connect() failed with error: 10061
06:25:31 [Connection] connect() failed with error: 10049
11:57:22 [SocketManager] Server started at port [55980]
11:57:23 [Connection] connect() failed with error: 10061
11:57:24 [Connection] connect() failed with error: 10061
12:55:19 [SocketManager] Server started at port [55980]
12:55:20 [Connection] connect() failed with error: 10061
12:55:21 [Connection] connect() failed with error: 10061
13:43:06 [SocketManager] Server started at port [55980]
13:43:07 [Connection] connect() failed with error: 10061
13:43:08 [Connection] connect() failed with error: 10061
13:46:33 [SocketManager] Server started at port [55980]
13:46:34 [Connection] connect() failed with error: 10061
13:46:35 [Connection] connect() failed with error: 10061
14:07:09 [SocketManager] Server started at port [55980]
14:07:10 [Connection] connect() failed with error: 10061
14:07:12 [Connection] connect() failed with error: 10061
14:13:11 [SocketManager] Server started at port [55980]
14:13:12 [Connection] connect() failed with error: 10061
14:13:13 [Connection] connect() failed with error: 10061
14:13:24 [Connection] connect() failed with error: 10061
14:13:34 [Connection] connect() failed with error: 10061
14:45:54 [SocketManager] Server started at port [55980]
14:45:55 [Connection] connect() failed with error: 10061
14:45:56 [Connection] connect() failed with error: 10061
14:46:07 [Connection] connect() failed with error: 10061
14:48:47 [SocketManager] Server started at port [55980]
14:48:48 [Connection] connect() failed with error: 10061
14:48:49 [Connection] connect() failed with error: 10061
14:49:01 [Connection] connect() failed with error: 10061
15:07:15 [SocketManager] Server started at port [55980]
15:07:16 [Connection] connect() failed with error: 10061
15:07:17 [Connection] connect() failed with error: 10061
15:10:38 [SocketManager] Server started at port [55980]
15:10:39 [Connection] connect() failed with error: 10061
15:10:40 [Connection] connect() failed with error: 10061
15:10:51 [Connection] connect() failed with error: 10061
16:46:49 [SocketManager] Server started at port [55980]
16:46:50 [Connection] connect() failed with error: 10061
16:46:51 [Connection] connect() failed with error: 10061
16:47:02 [Connection] connect() failed with error: 10061
18:58:17 [SocketManager] Server started at port [55980]
18:58:18 [Connection] connect() failed with error: 10061
18:58:19 [Connection] connect() failed with error: 10061
19:38:28 [SocketManager] Server started at port [55980]
19:38:29 [Connection] connect() failed with error: 10061
19:38:30 [Connection] connect() failed with error: 10061
19:41:27 [SocketManager] Server started at port [55980]
19:41:28 [Connection] connect() failed with error: 10061
19:41:29 [Connection] connect() failed with error: 10061
19:41:40 [Connection] connect() failed with error: 10061
20:34:49 [SocketManager] Server started at port [55980]
20:34:50 [Connection] connect() failed with error: 10061
20:34:51 [Connection] connect() failed with error: 10061
21:19:38 [SocketManager] Server started at port [55980]
21:19:39 [Connection] connect() failed with error: 10061
21:19:40 [Connection] connect() failed with error: 10061
21:42:39 [SocketManager] Server started at port [55980]
21:42:40 [Connection] connect() failed with error: 10061
21:42:41 [Connection] connect() failed with error: 10061
21:52:03 [SocketManager] Server started at port [55980]
21:52:04 [Connection] connect() failed with error: 10061
21:52:05 [Connection] connect() failed with error: 10061
23:31:35 [SocketManager] Server started at port [55980]
23:31:36 [Connection] connect() failed with error: 10061
23:31:37 [Connection] connect() failed with error: 10061
