17:10:41 [CommandMake][admin1][ZUCKER] - (Section: 12, Type: 88, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:10:49 [CommandMake][admin1][ZUCKER] - (Section: 12, Type: 87, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:12:38 [CommandMake][admin1][ZUCKER] - (Section: 12, Type: 479, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:55:46 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 11, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:56:54 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 12, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:58:27 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 13, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
17:59:43 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 14, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
18:01:06 [CommandMake][admin1][ZUCKER] - (Section: 8, Type: 15, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:13:55 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 19, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:15:38 [CommandMake][admin1][ZUCKER] - (Section: 8, Type: 20, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:18:22 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:19:13 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 25, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:20:39 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 26, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:20:43 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 27, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:20:47 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 28, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:41:24 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 36, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
19:45:36 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 38, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:32:06 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 40, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:33:08 [CommandClearInvent][ZUCKER] - (ClearInvent)
20:33:19 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 41, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:35:29 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 42, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:37:00 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 59, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:38:26 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 60, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:39:23 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 61, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:45:08 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 92, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:46:44 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 93, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:48:31 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 94, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:48:41 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 95, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:49:04 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 95, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:52:52 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 117, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:53:45 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 118, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:54:51 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 119, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:56:29 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 174, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:57:07 [CommandMake][admin1][ZUCKER] - (Section: 7, Type: 175, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
