11:40:23 [CommandPost][osaq][OsAq] - (Message: siema)
11:40:33 [CommandTrace][osaq][OsAq] - (Name: ZUCKER)
11:41:55 [CommandMake][osaq][OsAq] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:42:33 [CommandMake][osaq][OsAq] - (Section: 7, Type: 17, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:42:56 [CommandMake][osaq][OsAq] - (Section: 15, Type: 22, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:43:09 [CommandMake][osaq][OsAq] - (Section: 0, Type: 24, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:43:25 [CommandMake][osaq][OsAq] - (Section: 12, Type: 2, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:44:02 [CommandMake][osaq][OsAq] - (Section: 13, Type: 37, Level: 4, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:44:28 [CommandMake][osaq][OsAq] - (Section: 13, Type: 37, Level: 2, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:44:58 [CommandMake][osaq][OsAq] - (Section: 13, Type: 42, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:46:01 [CommandMake][osaq][OsAq] - (Section: 7, Type: 50, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:46:25 [CommandMake][osaq][OsAq] - (Section: 12, Type: 44, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:46:34 [CommandMake][osaq][OsAq] - (Section: 12, Type: 44, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
11:47:16 [CommandMake][osaq][OsAq] - (Section: 13, Type: 41, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
