06:56:15 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
06:57:05 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
06:59:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
06:59:24 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
07:59:44 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
08:04:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
08:05:11 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
08:06:01 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
08:33:40 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
08:34:22 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
08:43:13 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
08:43:13 [AccountInfo] Account disconnected by clear (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
08:46:10 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
08:50:28 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
09:47:10 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
11:24:22 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
11:27:03 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
11:31:08 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
11:34:47 [AccountInfo] Account connected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
11:35:06 [AccountInfo] Account disconnected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
11:35:23 [AccountInfo] Account connected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
12:28:03 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
13:15:54 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
13:16:29 [AccountInfo] Account connected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
13:16:47 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
14:04:01 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
14:04:17 [AccountInfo] Account connected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
14:05:12 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
15:05:01 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
15:43:25 [AccountInfo] Account disconnected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
15:48:23 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
15:48:40 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
15:52:40 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
15:53:22 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
15:55:04 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
15:55:39 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
15:56:40 [AccountInfo] Account connected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
15:59:22 [AccountInfo] Account disconnected (Account: grun, IpAddress: 89.64.5.233, GameServerCode: 20)
16:56:04 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
21:20:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
21:20:31 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
21:22:19 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
21:38:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
21:39:18 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
21:40:31 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
22:25:47 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
22:26:17 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
23:26:47 [AccountInfo] Account disconnected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
