00:07:07 [SocketManager] Server started at port [55980]
00:07:08 [Connection] connect() failed with error: 10061
00:07:09 [Connection] connect() failed with error: 10061
00:07:30 [Connection] connect() failed with error: 10060
00:07:31 [Connection] connect() failed with error: 10061
00:07:32 [Connection] connect() failed with error: 10061
00:07:33 [Connection] connect() failed with error: 10061
00:07:34 [Connection] connect() failed with error: 10061
00:07:40 [Connection] connect() failed with error: 10061
00:07:50 [Connection] connect() failed with error: 10061
00:08:00 [Connection] connect() failed with error: 10061
00:08:10 [Connection] connect() failed with error: 10061
00:08:20 [Connection] connect() failed with error: 10061
00:08:30 [Connection] connect() failed with error: 10061
00:08:40 [Connection] connect() failed with error: 10061
00:08:50 [Connection] connect() failed with error: 10061
00:09:00 [Connection] connect() failed with error: 10061
00:09:01 [Connection] connect() failed with error: 10061
00:09:10 [Connection] connect() failed with error: 10061
00:09:11 [Connection] connect() failed with error: 10061
00:09:20 [Connection] connect() failed with error: 10061
00:09:21 [Connection] connect() failed with error: 10061
00:09:30 [Connection] connect() failed with error: 10061
00:09:31 [Connection] connect() failed with error: 10061
00:09:40 [Connection] connect() failed with error: 10061
00:09:41 [Connection] connect() failed with error: 10061
00:09:50 [Connection] connect() failed with error: 10061
00:09:51 [Connection] connect() failed with error: 10061
00:10:00 [Connection] connect() failed with error: 10061
00:10:01 [Connection] connect() failed with error: 10061
00:10:10 [Connection] connect() failed with error: 10061
00:10:11 [Connection] connect() failed with error: 10061
00:10:20 [Connection] connect() failed with error: 10061
00:10:21 [Connection] connect() failed with error: 10061
00:10:30 [Connection] connect() failed with error: 10061
00:10:31 [Connection] connect() failed with error: 10061
00:10:40 [Connection] connect() failed with error: 10061
00:10:41 [Connection] connect() failed with error: 10061
00:10:50 [Connection] connect() failed with error: 10061
00:10:51 [Connection] connect() failed with error: 10061
00:11:00 [Connection] connect() failed with error: 10061
00:11:01 [Connection] connect() failed with error: 10061
00:11:10 [Connection] connect() failed with error: 10061
00:11:11 [Connection] connect() failed with error: 10061
00:11:20 [Connection] connect() failed with error: 10061
00:11:21 [Connection] connect() failed with error: 10061
00:11:30 [Connection] connect() failed with error: 10061
00:11:31 [Connection] connect() failed with error: 10061
00:11:40 [Connection] connect() failed with error: 10061
00:11:41 [Connection] connect() failed with error: 10061
00:11:50 [Connection] connect() failed with error: 10061
00:11:51 [Connection] connect() failed with error: 10061
00:12:00 [Connection] connect() failed with error: 10061
00:12:01 [Connection] connect() failed with error: 10061
00:12:10 [Connection] connect() failed with error: 10061
00:12:11 [Connection] connect() failed with error: 10061
00:12:20 [Connection] connect() failed with error: 10061
00:12:21 [Connection] connect() failed with error: 10061
00:12:30 [Connection] connect() failed with error: 10061
00:12:31 [Connection] connect() failed with error: 10061
00:12:40 [Connection] connect() failed with error: 10061
00:12:41 [Connection] connect() failed with error: 10061
00:12:50 [Connection] connect() failed with error: 10061
00:12:51 [Connection] connect() failed with error: 10061
00:13:00 [Connection] connect() failed with error: 10061
00:13:01 [Connection] connect() failed with error: 10061
00:13:10 [Connection] connect() failed with error: 10061
00:13:11 [Connection] connect() failed with error: 10061
00:13:20 [Connection] connect() failed with error: 10061
00:13:21 [Connection] connect() failed with error: 10061
00:13:30 [Connection] connect() failed with error: 10061
00:13:31 [Connection] connect() failed with error: 10061
00:13:40 [Connection] connect() failed with error: 10061
00:13:41 [Connection] connect() failed with error: 10061
00:13:50 [Connection] connect() failed with error: 10061
00:13:51 [Connection] connect() failed with error: 10061
00:14:00 [Connection] connect() failed with error: 10061
00:14:01 [Connection] connect() failed with error: 10061
00:14:10 [Connection] connect() failed with error: 10061
00:14:11 [Connection] connect() failed with error: 10061
00:14:20 [Connection] connect() failed with error: 10061
00:14:21 [Connection] connect() failed with error: 10061
00:14:30 [Connection] connect() failed with error: 10061
00:14:31 [Connection] connect() failed with error: 10061
00:14:40 [Connection] connect() failed with error: 10061
00:14:41 [Connection] connect() failed with error: 10061
00:14:50 [Connection] connect() failed with error: 10061
00:14:51 [Connection] connect() failed with error: 10061
00:15:00 [Connection] connect() failed with error: 10061
00:15:01 [Connection] connect() failed with error: 10061
00:15:10 [Connection] connect() failed with error: 10061
00:15:11 [Connection] connect() failed with error: 10061
00:15:20 [Connection] connect() failed with error: 10061
00:15:21 [Connection] connect() failed with error: 10061
00:15:30 [Connection] connect() failed with error: 10061
00:15:31 [Connection] connect() failed with error: 10061
00:15:40 [Connection] connect() failed with error: 10061
00:15:41 [Connection] connect() failed with error: 10061
00:15:50 [Connection] connect() failed with error: 10061
00:15:51 [Connection] connect() failed with error: 10061
00:16:00 [Connection] connect() failed with error: 10061
00:16:01 [Connection] connect() failed with error: 10061
00:16:10 [Connection] connect() failed with error: 10061
00:16:11 [Connection] connect() failed with error: 10061
00:16:20 [Connection] connect() failed with error: 10061
00:16:21 [Connection] connect() failed with error: 10061
00:16:30 [Connection] connect() failed with error: 10061
00:16:31 [Connection] connect() failed with error: 10061
00:16:40 [Connection] connect() failed with error: 10061
00:16:41 [Connection] connect() failed with error: 10061
00:16:50 [Connection] connect() failed with error: 10061
00:16:51 [Connection] connect() failed with error: 10061
00:17:00 [Connection] connect() failed with error: 10061
00:17:01 [Connection] connect() failed with error: 10061
00:17:10 [Connection] connect() failed with error: 10061
00:17:11 [Connection] connect() failed with error: 10061
00:17:20 [Connection] connect() failed with error: 10061
00:17:21 [Connection] connect() failed with error: 10061
00:17:30 [Connection] connect() failed with error: 10061
00:17:31 [Connection] connect() failed with error: 10061
00:17:40 [Connection] connect() failed with error: 10061
00:17:41 [Connection] connect() failed with error: 10061
00:17:50 [Connection] connect() failed with error: 10061
00:17:51 [Connection] connect() failed with error: 10061
00:18:00 [Connection] connect() failed with error: 10061
00:18:01 [Connection] connect() failed with error: 10061
00:18:10 [Connection] connect() failed with error: 10061
00:18:11 [Connection] connect() failed with error: 10061
00:18:20 [Connection] connect() failed with error: 10061
00:18:21 [Connection] connect() failed with error: 10061
00:18:30 [Connection] connect() failed with error: 10061
00:18:31 [Connection] connect() failed with error: 10061
00:18:40 [Connection] connect() failed with error: 10061
00:18:41 [Connection] connect() failed with error: 10061
00:18:50 [Connection] connect() failed with error: 10061
00:18:51 [Connection] connect() failed with error: 10061
00:19:00 [Connection] connect() failed with error: 10061
00:19:01 [Connection] connect() failed with error: 10061
00:19:10 [Connection] connect() failed with error: 10061
00:19:11 [Connection] connect() failed with error: 10061
00:19:20 [Connection] connect() failed with error: 10061
00:19:21 [Connection] connect() failed with error: 10061
00:19:30 [Connection] connect() failed with error: 10061
00:19:31 [Connection] connect() failed with error: 10061
00:19:40 [Connection] connect() failed with error: 10061
00:19:41 [Connection] connect() failed with error: 10061
00:19:50 [Connection] connect() failed with error: 10061
00:19:51 [Connection] connect() failed with error: 10061
00:20:00 [Connection] connect() failed with error: 10061
00:20:01 [Connection] connect() failed with error: 10061
00:20:10 [Connection] connect() failed with error: 10061
00:20:11 [Connection] connect() failed with error: 10061
00:20:20 [Connection] connect() failed with error: 10061
00:20:21 [Connection] connect() failed with error: 10061
