08:26:15 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
10:51:19 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
11:57:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
11:57:42 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
11:58:25 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:46:14 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:47:09 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:47:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:49:18 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:49:23 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:51:27 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:51:43 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
12:55:36 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
12:56:12 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:15:31 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:16:37 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:17:38 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:18:36 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:20:27 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:21:05 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:39:14 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:39:53 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:43:26 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
13:44:10 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:45:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
13:46:53 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
13:47:44 [AccountInfo] Account connected (Account: admin, IpAddress: 80.134.26.127, GameServerCode: 20)
14:07:26 [AccountInfo] Account connected (Account: xanadu0, IpAddress: 80.134.26.127, GameServerCode: 20)
